,playlist_name,artist_names,first_genre,enoa_subgenre_matches,top,left,best_playlist_match,best_enoa_match
267,champagne problems,"['Mount Kimbie', 'Micachu', 'Palms Trax']",uk alternative pop,"['acoustic-indie', 'new-wave']",7643,650,"['uk alternative pop', 'uppsala indie', 'ambient idm', 'indie soul', 'ecuadorian indie', 'swiss indie', 'instrumental hip hop', 'cantautora mexicana', 'art pop', 'glitch beats', 'indie rock', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'latintronica', 'chillhop', 'canadian latin', 'chill beats', 'high vibe', 'bboy', 'alternative dance', 'balearic', 'folklore boliviano', 'organic electronic', 'ethio-jazz', 'german techno', 'nuevo folklore mexicano', 'ethnotronica', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house', 'british singer-songwriter', 'shamanic', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
281,champagne problems,['Arms and Sleepers'],ambient idm,"['acoustic-indie', 'new-wave']",8162,633,"['ambient idm', 'ecuadorian indie', 'swiss indie', 'uk alternative pop', 'uppsala indie', 'indie soul', 'cantautora mexicana', 'instrumental hip hop', 'art pop', 'indie rock', 'glitch beats', 'chillhop', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'high vibe', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'folklore boliviano', 'alternative dance', 'ethio-jazz', 'nuevo folklore mexicano', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'british singer-songwriter', 'shamanic', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
290,champagne problems,"['Caribou', 'Tale Of Us', 'Mano Le Tough']",alternative dance,[],2674,815,"['alternative dance', 'balearic', 'bboy', 'organic electronic', 'german techno', 'ethnotronica', 'chill beats', 'deep house', 'canadian latin', 'latintronica', 'deep euro house', 'electronica', 'minimal tech house', 'organic house', 'deep disco house', 'downtempo', 'nu-cumbia', 'synth funk', 'electra', 'glitch beats', 'instrumental hip hop', 'indie soul', 'uppsala indie', 'uk alternative pop', 'ambient idm', 'ecuadorian indie', 'swiss indie', 'cantautora mexicana', 'art pop', 'indie rock', 'chillhop', 'high vibe', 'folklore boliviano', 'ethio-jazz', 'nuevo folklore mexicano', 'british singer-songwriter', 'shamanic', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
291,champagne problems,['Arms and Sleepers'],ambient idm,"['acoustic-indie', 'new-wave']",8162,633,"['ambient idm', 'ecuadorian indie', 'swiss indie', 'uk alternative pop', 'uppsala indie', 'indie soul', 'cantautora mexicana', 'instrumental hip hop', 'art pop', 'indie rock', 'glitch beats', 'chillhop', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'high vibe', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'folklore boliviano', 'alternative dance', 'ethio-jazz', 'nuevo folklore mexicano', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'british singer-songwriter', 'shamanic', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
296,champagne problems,['Arms and Sleepers'],ambient idm,"['acoustic-indie', 'new-wave']",8162,633,"['ambient idm', 'ecuadorian indie', 'swiss indie', 'uk alternative pop', 'uppsala indie', 'indie soul', 'cantautora mexicana', 'instrumental hip hop', 'art pop', 'indie rock', 'glitch beats', 'chillhop', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'high vibe', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'folklore boliviano', 'alternative dance', 'ethio-jazz', 'nuevo folklore mexicano', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'british singer-songwriter', 'shamanic', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
309,champagne problems,['Suzanne Kraft'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,"['fourth world', 'british jazz', 'shamanic', 'british singer-songwriter', 'nuevo folklore mexicano', 'deep free jazz', 'ethio-jazz', 'samba-jazz', 'folklore boliviano', 'high vibe', 'neo-classical', 'chillhop', 'indie rock', 'art pop', 'cantautora mexicana', 'swiss indie', 'ecuadorian indie', 'ambient idm', 'uk alternative pop', 'uppsala indie', 'indie soul', 'instrumental hip hop', 'glitch beats', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'alternative dance', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
338,pajarito del amor,['Dojo Cuts'],bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'popping', 'electronica', 'shimmer pop', 'deep house', 'deep euro house', 'glitch beats', 'indie soul', 'latinx alternative', 'brazilian rock', 'bachata', 'swiss indie', 'musica popular paraense', 'turkish alternative', 'cantautora mexicana', 'art pop', 'alternative rock', 'album rock', 'forro tradicional', 'brazilian boogie', 'chillhop', 'bristol indie', 'j-acoustic', 'morna', 'acoustic pop', 'british invasion', 'musica goiana', 'southern soul', 'classic rock', 'raga rock', 'indie folk', 'experimental', 'pop folk', 'british singer-songwriter', 'chicago soul', 'turkish jazz', 'fourth world', 'british jazz', 'british folk', 'bossa nova', 'instrumental acoustic guitar', 'samba-jazz', 'compositional ambient', 'neo-classical', 'classical guitar']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
348,pajarito del amor,['Audio Dope'],swiss indie,"['acoustic-indie', 'latin-pop', 'shamanic']",8224,703,"['swiss indie', 'brazilian rock', 'bachata', 'musica popular paraense', 'latinx alternative', 'turkish alternative', 'cantautora mexicana', 'indie soul', 'art pop', 'alternative rock', 'glitch beats', 'album rock', 'forro tradicional', 'brazilian boogie', 'chillhop', 'bristol indie', 'shimmer pop', 'electronica', 'popping', 'j-acoustic', 'acoustic pop', 'morna', 'british invasion', 'musica goiana', 'bboy', 'southern soul', 'classic rock', 'raga rock', 'indie folk', 'experimental', 'pop folk', 'british singer-songwriter', 'chicago soul', 'turkish jazz', 'deep house', 'deep euro house', 'fourth world', 'british jazz', 'british folk', 'bossa nova', 'instrumental acoustic guitar', 'samba-jazz', 'compositional ambient', 'neo-classical', 'classical guitar']","['ecuadorian indie', 'high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
354,pajarito del amor,['Suzanne Kraft'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,"['fourth world', 'british jazz', 'british folk', 'bossa nova', 'turkish jazz', 'chicago soul', 'british singer-songwriter', 'instrumental acoustic guitar', 'pop folk', 'experimental', 'indie folk', 'samba-jazz', 'raga rock', 'classic rock', 'southern soul', 'musica goiana', 'british invasion', 'acoustic pop', 'morna', 'j-acoustic', 'compositional ambient', 'neo-classical', 'bristol indie', 'chillhop', 'brazilian boogie', 'forro tradicional', 'album rock', 'classical guitar', 'alternative rock', 'art pop', 'cantautora mexicana', 'turkish alternative', 'musica popular paraense', 'swiss indie', 'bachata', 'brazilian rock', 'latinx alternative', 'indie soul', 'glitch beats', 'shimmer pop', 'electronica', 'popping', 'bboy', 'deep house', 'deep euro house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
355,pajarito del amor,"['Ariel Pink', 'DāM-FunK']",popping,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",4267,1146,"['popping', 'electronica', 'bboy', 'shimmer pop', 'glitch beats', 'indie soul', 'deep house', 'latinx alternative', 'deep euro house', 'brazilian rock', 'bachata', 'swiss indie', 'musica popular paraense', 'turkish alternative', 'cantautora mexicana', 'art pop', 'alternative rock', 'forro tradicional', 'album rock', 'brazilian boogie', 'chillhop', 'bristol indie', 'j-acoustic', 'morna', 'acoustic pop', 'british invasion', 'musica goiana', 'southern soul', 'classic rock', 'raga rock', 'indie folk', 'experimental', 'pop folk', 'british singer-songwriter', 'chicago soul', 'turkish jazz', 'fourth world', 'british jazz', 'british folk', 'bossa nova', 'instrumental acoustic guitar', 'samba-jazz', 'compositional ambient', 'neo-classical', 'classical guitar']","['colombian pop', 'reggaeton flow', 'latin hip hop', 'reggaeton', 'flamenco urbano']"
